"","Rank","Release","Genre","Budget","Running Time","Gross","Theaters","Total Gross","Release Date","Distributor","Estimated"
"1",1,"Barbie","-","-","-","$636,225,983","4,337","$636,238,421","Jul 21","Warner Bros.","false"
"2",2,"The Super Mario Bros. Movie","-","-","-","$574,934,330","4,371","$574,934,330","Apr 5","Universal Pictures","false"
"3",3,"Spider-Man: Across the Spider-Verse","-","-","-","$381,311,319","4,332","$381,311,319","Jun 2","Columbia Pictures","false"
"4",4,"Guardians of the Galaxy Vol. 3","-","-","-","$358,995,815","4,450","$358,995,815","May 5","Walt Disney Studios Motion Pictures","false"
"5",5,"Oppenheimer","-","-","-","$326,101,370","3,761","$330,078,895","Jul 21","Universal Pictures","false"
"6",6,"The Little Mermaid","-","-","-","$298,172,056","4,320","$298,172,056","May 26","Walt Disney Studios Motion Pictures","false"
"7",7,"Avatar: The Way of Water","-","-","-","$283,067,859","4,340","$684,075,767","Dec 16","20th Century Studios","false"
"8",8,"Ant-Man and the Wasp: Quantumania","-","-","-","$214,504,909","4,345","$214,504,909","Feb 17","Walt Disney Studios Motion Pictures","false"
"9",9,"John Wick: Chapter 4","-","-","-","$187,131,806","3,855","$187,131,806","Mar 24","Lionsgate","false"
"10",10,"Sound of Freedom","-","-","-","$184,177,725","3,411","$184,178,046","Jul 4","Angel Studios","false"
"11",11,"Taylor Swift: The Eras Tour","-","-","-","$179,817,571","3,855","$180,756,269","Oct 13","AMC Theatres","false"
"12",12,"Indiana Jones and the Dial of Destiny","-","-","-","$174,480,468","4,600","$174,480,468","Jun 30","Walt Disney Studios Motion Pictures","false"
"13",13,"Mission: Impossible - Dead Reckoning Part One","-","-","-","$172,135,383","4,327","$172,640,980","Jul 12","Paramount Pictures","false"
"14",14,"The Hunger Games: The Ballad of Songbirds & Snakes","-","-","-","$159,719,625","3,776","$166,350,594","Nov 17","Lionsgate","false"
"15",15,"Transformers: Rise of the Beasts","-","-","-","$157,066,392","3,680","$157,341,749","Jun 9","Paramount Pictures","false"
"16",16,"Creed III","-","-","-","$156,248,615","4,007","$156,248,615","Mar 3","United Artists Releasing","false"
"17",17,"Elemental","-","-","-","$154,426,697","4,035","$154,426,697","Jun 16","Walt Disney Studios Motion Pictures","false"
"18",18,"Fast X","-","-","-","$146,126,015","4,088","$146,126,015","May 19","Universal Pictures","false"
"19",19,"Five Nights at Freddy's","-","-","-","$137,275,620","3,789","$137,275,620","Oct 27","Universal Pictures","false"
"20",20,"Wonka","-","-","-","$133,129,902","4,213","$218,402,312","Dec 15","Warner Bros.","false"
"21",21,"Puss in Boots: The Last Wish","-","-","-","$130,425,380","4,121","$186,090,535","Dec 21","Universal Pictures","false"
"22",22,"Teenage Mutant Ninja Turtles: Mutant Mayhem","-","-","-","$118,613,586","3,950","$118,700,272","Aug 2","Paramount Pictures","false"
"23",23,"Scream VI","-","-","-","$108,161,389","3,676","$108,391,107","Mar 10","Paramount Pictures","false"
"24",24,"The Flash","-","-","-","$108,133,313","4,256","$108,133,313","Jun 16","Warner Bros.","false"
"25",25,"Trolls Band Together","-","-","-","$96,370,205","3,893","$103,270,155","Nov 17","Universal Pictures","false"
"26",26,"M3GAN","-","-","-","$95,159,005","3,628","$95,159,005","Jan 6","Universal Pictures","false"
"27",27,"Dungeons & Dragons: Honor Among Thieves","-","-","-","$93,277,026","3,856","$93,549,650","Mar 31","Paramount Pictures","false"
"28",28,"The Equalizer 3","-","-","-","$92,373,751","3,965","$92,373,751","Sep 1","Columbia Pictures","false"
"29",29,"The Nun II","-","-","-","$86,267,073","3,743","$86,267,073","Sep 8","Warner Bros.","false"
"30",30,"The Marvels","-","-","-","$84,479,155","4,030","$84,500,223","Nov 10","Walt Disney Studios Motion Pictures","false"
"31",31,"Meg 2: The Trench","-","-","-","$82,600,317","3,604","$82,600,317","Aug 4","Warner Bros.","false"
"32",32,"Insidious: The Red Door","-","-","-","$82,156,962","3,188","$82,156,962","Jul 7","Screen Gems","false"
